epoch,train_loss,train_acc,test_loss,test_acc
0,1.985,28.73,1.57,41.73
1,1.523,43.958,1.352,49.52
2,1.282,53.332,1.244,54.61
3,1.062,61.724,0.972,66.02
4,0.909,67.636,1.005,65.69
5,0.789,72.334,0.709,75.59
6,0.712,75.088,0.775,73.88
7,0.665,76.882,0.743,74.14
8,0.635,77.972,0.744,75.44
9,0.604,79.072,0.926,71.64
10,0.589,79.714,1.119,69.06
11,0.564,80.448,0.587,80.01
12,0.551,80.942,0.569,81.21
13,0.543,81.418,0.656,78.73
14,0.522,82.01,0.617,78.64
15,0.517,82.076,0.555,81.65
16,0.506,82.736,0.614,79.46
17,0.503,82.61,0.564,81.62
18,0.491,83.11,0.572,80.67
19,0.484,83.276,0.61,80.15
20,0.481,83.458,0.547,81.53
21,0.467,83.974,0.558,81.03
22,0.475,83.73,0.571,81.0
23,0.472,83.858,0.851,72.5
24,0.457,84.156,0.538,81.9
25,0.459,84.242,0.605,80.54
26,0.453,84.464,0.562,80.29
27,0.455,84.274,0.743,78.5
28,0.447,84.73,0.475,84.08
29,0.443,84.688,0.474,84.48
30,0.441,84.882,0.661,79.16
31,0.437,85.016,0.608,81.21
32,0.442,84.89,0.497,83.04
33,0.435,85.01,0.477,84.35
34,0.428,85.216,0.42,86.09
35,0.423,85.462,0.527,82.88
36,0.422,85.516,0.485,84.18
37,0.422,85.482,0.442,84.91
38,0.42,85.626,0.58,81.4
39,0.42,85.514,0.495,83.75
40,0.415,85.854,0.426,86.07
41,0.409,86.044,0.509,83.44
42,0.415,85.698,0.574,81.26
43,0.406,86.138,0.481,83.6
44,0.409,85.944,0.502,83.55
45,0.406,86.028,0.451,84.53
46,0.4,86.292,0.415,85.79
47,0.399,86.376,0.387,86.89
48,0.391,86.546,0.604,81.28
49,0.395,86.562,0.467,84.78
50,0.393,86.556,0.489,83.87
51,0.388,86.666,0.478,84.98
52,0.39,86.578,0.552,82.71
53,0.385,86.904,0.431,85.41
54,0.379,86.932,0.572,82.79
55,0.379,87.01,0.412,86.28
56,0.377,87.002,0.509,83.33
57,0.375,87.26,0.518,83.14
58,0.379,87.062,0.538,82.59
59,0.377,87.094,0.462,84.6
60,0.363,87.512,0.611,80.92
61,0.369,87.334,0.569,82.21
62,0.367,87.42,0.394,86.54
63,0.366,87.614,0.713,79.47
64,0.365,87.392,0.412,86.13
65,0.364,87.488,0.398,86.96
66,0.355,87.772,0.368,88.25
67,0.356,87.688,0.553,81.68
68,0.354,87.8,0.537,83.0
69,0.355,87.848,0.873,74.11
70,0.345,88.218,0.445,85.63
71,0.347,88.18,0.447,85.47
72,0.344,88.216,0.37,87.75
73,0.338,88.442,0.469,84.83
74,0.347,88.064,0.433,85.76
75,0.34,88.348,0.437,85.33
76,0.334,88.448,0.383,87.02
77,0.338,88.246,0.347,88.58
