epoch,train_loss,train_acc,test_loss,test_acc
78,0.327,88.76,0.428,86.04
79,0.328,88.6,0.508,83.46
80,0.333,88.594,0.41,86.54
81,0.325,88.856,0.441,85.72
82,0.324,88.928,0.471,85.26
83,0.321,88.974,0.392,87.29
84,0.319,88.998,0.331,88.71
85,0.316,89.208,0.353,87.77
86,0.315,89.182,0.373,87.38
87,0.313,89.17,0.314,89.82
88,0.302,89.544,0.463,85.42
89,0.305,89.59,0.32,89.54
90,0.298,89.85,0.399,87.17
91,0.299,89.77,0.357,88.33
92,0.298,89.738,0.363,88.15
93,0.301,89.606,0.359,88.25
94,0.29,89.998,0.393,87.35
95,0.289,90.078,0.284,90.28
96,0.283,90.284,0.4,87.11
97,0.288,90.298,0.332,88.86
98,0.282,90.34,0.429,86.5
99,0.275,90.46,0.448,85.57
100,0.278,90.424,0.324,89.19
101,0.267,90.778,0.369,88.18
102,0.269,90.746,0.308,89.63
103,0.271,90.65,0.29,90.49
104,0.262,90.888,0.323,89.36
105,0.256,91.24,0.313,89.59
106,0.259,91.058,0.329,89.15
107,0.252,91.448,0.546,83.97
108,0.253,91.34,0.272,91.08
109,0.255,91.17,0.315,89.73
110,0.243,91.634,0.374,88.06
111,0.243,91.61,0.301,90.58
112,0.237,91.92,0.337,89.2
113,0.238,91.746,0.343,88.81
114,0.233,91.898,0.326,89.59
115,0.232,91.95,0.287,90.27
116,0.224,92.236,0.328,88.94
117,0.222,92.296,0.359,88.63
118,0.228,92.116,0.284,90.43
119,0.215,92.6,0.264,91.0
120,0.214,92.722,0.282,90.94
121,0.211,92.764,0.267,91.05
122,0.21,92.788,0.273,90.83
123,0.205,92.97,0.254,91.65
124,0.201,93.0,0.297,90.53
125,0.195,93.29,0.366,88.69
126,0.197,93.2,0.247,91.85
127,0.19,93.484,0.254,91.73
128,0.185,93.62,0.315,90.28
129,0.185,93.556,0.279,91.1
130,0.181,93.778,0.267,91.49
131,0.174,94.012,0.296,90.91
132,0.171,94.106,0.267,91.58
133,0.166,94.344,0.386,88.46
134,0.163,94.39,0.294,90.91
135,0.169,94.21,0.302,90.6
136,0.157,94.692,0.325,90.07
137,0.155,94.688,0.232,92.79
138,0.152,94.642,0.262,91.73
139,0.147,94.922,0.254,92.29
140,0.145,95.028,0.26,92.01
141,0.138,95.33,0.221,93.02
142,0.137,95.332,0.23,92.77
143,0.138,95.306,0.228,92.73
144,0.128,95.664,0.249,92.21
145,0.124,95.772,0.233,92.81
146,0.122,95.886,0.235,92.65
147,0.126,95.652,0.26,92.06
148,0.118,95.944,0.242,92.69
149,0.119,95.99,0.22,93.51
150,0.112,96.204,0.245,92.53
151,0.103,96.566,0.232,93.05
152,0.106,96.434,0.225,93.18
153,0.101,96.604,0.201,94.03
154,0.098,96.744,0.196,94.03
155,0.092,96.968,0.207,93.7
156,0.092,96.922,0.206,93.82
157,0.089,96.968,0.23,93.39
158,0.085,97.072,0.206,93.87
159,0.079,97.366,0.209,93.96
160,0.078,97.406,0.198,93.91
161,0.072,97.604,0.194,94.3
162,0.068,97.752,0.189,94.48
163,0.069,97.72,0.194,94.29
164,0.067,97.83,0.206,94.36
165,0.061,97.946,0.198,94.36
166,0.063,97.952,0.183,95.08
167,0.058,98.074,0.186,94.64
168,0.054,98.248,0.188,94.7
169,0.053,98.258,0.185,94.76
170,0.048,98.416,0.189,94.72
171,0.048,98.458,0.178,95.14
172,0.046,98.522,0.176,95.19
173,0.044,98.536,0.171,95.21
174,0.04,98.758,0.163,95.33
175,0.042,98.602,0.169,94.78
176,0.038,98.776,0.155,95.75
177,0.037,98.806,0.159,95.44
178,0.036,98.846,0.163,95.27
179,0.033,98.952,0.154,95.66
180,0.033,98.964,0.153,95.53
181,0.032,99.004,0.155,95.57
182,0.03,99.014,0.155,95.67
183,0.03,99.122,0.152,95.71
184,0.03,99.112,0.152,95.8
185,0.026,99.168,0.152,95.75
186,0.027,99.134,0.149,95.79
187,0.027,99.106,0.147,95.87
188,0.026,99.16,0.148,95.7
189,0.024,99.286,0.145,95.86
190,0.025,99.194,0.143,95.85
191,0.024,99.266,0.142,95.99
192,0.024,99.26,0.142,95.86
193,0.023,99.3,0.141,95.86
194,0.023,99.284,0.143,95.78
195,0.023,99.294,0.142,95.75
196,0.025,99.196,0.142,95.93
197,0.023,99.252,0.143,95.82
198,0.023,99.25,0.142,95.87
199,0.022,99.282,0.142,95.86
