epoch,train_loss,train_acc,test_loss,test_acc
107,0.251,91.336,0.301,90.03
108,0.247,91.546,0.268,91.25
109,0.243,91.552,0.324,89.32
110,0.244,91.692,0.301,90.24
111,0.234,92.03,0.332,89.29
112,0.234,91.988,0.34,89.01
113,0.23,92.118,0.303,89.93
114,0.225,92.258,0.308,89.88
115,0.224,92.224,0.324,89.62
116,0.212,92.776,0.279,91.0
117,0.216,92.656,0.289,90.5
118,0.217,92.566,0.296,90.57
119,0.212,92.65,0.298,90.4
120,0.202,93.034,0.306,90.17
121,0.202,93.004,0.267,91.21
122,0.204,93.006,0.287,90.77
123,0.201,92.93,0.294,90.97
124,0.193,93.41,0.272,91.3
125,0.191,93.31,0.338,89.28
126,0.187,93.662,0.299,90.34
127,0.186,93.608,0.291,90.76
128,0.179,93.92,0.291,90.29
129,0.17,94.16,0.275,91.22
130,0.173,94.014,0.248,91.84
131,0.166,94.332,0.253,91.75
132,0.165,94.25,0.254,91.98
133,0.163,94.416,0.276,91.32
134,0.158,94.562,0.276,91.36
135,0.156,94.66,0.26,91.99
136,0.151,94.832,0.229,92.62
137,0.147,95.036,0.245,92.27
138,0.148,94.88,0.318,90.43
139,0.138,95.208,0.246,92.24
140,0.136,95.288,0.247,92.31
141,0.138,95.268,0.278,91.42
142,0.127,95.666,0.241,92.52
143,0.126,95.658,0.256,92.3
144,0.119,95.934,0.25,92.55
145,0.116,96.052,0.231,92.86
146,0.114,96.058,0.229,93.11
147,0.109,96.344,0.228,92.55
148,0.11,96.176,0.234,92.66
149,0.109,96.236,0.214,93.25
150,0.099,96.758,0.245,92.58
151,0.094,96.768,0.238,93.07
152,0.095,96.806,0.216,93.32
153,0.09,96.944,0.204,93.68
154,0.08,97.222,0.222,93.45
155,0.083,97.298,0.227,92.92
156,0.081,97.244,0.224,93.27
157,0.075,97.4,0.208,93.79
158,0.071,97.698,0.197,94.07
159,0.07,97.636,0.211,93.88
160,0.065,97.792,0.214,93.5
161,0.062,98.04,0.207,93.79
162,0.06,98.026,0.197,94.25
163,0.056,98.204,0.201,93.92
164,0.052,98.256,0.194,94.46
165,0.053,98.242,0.185,94.58
166,0.049,98.418,0.181,94.77
167,0.044,98.528,0.18,94.84
168,0.045,98.598,0.188,94.69
169,0.041,98.714,0.173,95.06
170,0.037,98.872,0.177,94.94
171,0.037,98.844,0.168,95.19
172,0.031,99.01,0.163,95.23
173,0.031,99.01,0.169,95.15
174,0.029,99.088,0.164,95.32
175,0.028,99.146,0.163,95.28
176,0.025,99.226,0.162,95.33
177,0.024,99.296,0.16,95.49
178,0.022,99.304,0.158,95.54
179,0.021,99.372,0.16,95.43
180,0.021,99.344,0.158,95.44
181,0.021,99.36,0.156,95.64
182,0.018,99.474,0.156,95.56
183,0.018,99.486,0.154,95.47
184,0.016,99.498,0.153,95.62
185,0.016,99.54,0.157,95.69
186,0.015,99.552,0.154,95.62
187,0.014,99.608,0.151,95.82
188,0.015,99.56,0.149,95.83
189,0.013,99.626,0.148,95.8
190,0.014,99.576,0.15,95.65
191,0.011,99.666,0.149,95.76
192,0.013,99.628,0.15,95.72
193,0.013,99.65,0.148,95.75
194,0.014,99.624,0.149,95.78
195,0.012,99.622,0.148,95.81
196,0.012,99.666,0.147,95.87
197,0.012,99.662,0.147,95.76
198,0.012,99.65,0.147,95.84
199,0.012,99.684,0.148,95.8
