epoch,train_loss,train_acc,test_loss,test_acc
0,2.011,28.392,1.593,40.73
1,1.566,42.514,1.406,48.88
2,1.372,50.092,1.241,55.08
3,1.183,57.418,1.189,58.42
4,1.024,63.524,1.179,61.52
5,0.901,67.976,0.884,69.05
6,0.802,71.91,0.854,71.07
7,0.733,74.534,0.664,76.8
8,0.68,76.446,0.798,72.86
9,0.649,77.484,0.659,77.35
10,0.632,78.282,0.778,74.82
11,0.596,79.406,0.712,76.49
12,0.588,79.67,0.517,82.33
13,0.561,80.656,0.79,74.21
14,0.55,81.172,0.699,76.59
15,0.537,81.486,0.502,83.28
16,0.529,81.846,0.499,83.06
17,0.517,82.036,0.514,82.61
18,0.509,82.476,0.542,81.67
19,0.5,82.768,0.509,83.48
20,0.493,82.956,0.503,83.22
21,0.488,83.2,0.507,82.84
22,0.481,83.438,0.513,82.63
23,0.474,83.532,0.522,82.31
24,0.476,83.618,0.481,84.12
25,0.471,83.836,0.503,83.22
26,0.465,84.064,0.525,82.2
27,0.453,84.494,0.686,78.15
28,0.457,84.236,0.55,82.36
29,0.452,84.474,0.675,79.94
30,0.449,84.53,0.537,81.7
31,0.445,84.78,0.551,81.8
32,0.438,84.882,0.484,84.0
33,0.44,85.006,0.655,79.08
34,0.433,85.33,0.638,79.68
35,0.432,85.038,0.533,82.3
36,0.425,85.386,0.445,85.45
37,0.427,85.37,0.443,84.66
38,0.423,85.522,0.595,81.1
39,0.421,85.638,0.484,83.63
40,0.413,85.956,0.506,83.49
41,0.42,85.728,0.54,82.26
42,0.408,86.084,0.392,86.77
43,0.406,86.014,0.549,81.51
44,0.412,85.842,0.49,83.69
45,0.406,86.034,0.522,83.42
46,0.406,86.06,0.731,78.0
47,0.404,86.192,0.558,80.97
48,0.405,86.126,0.499,83.55
49,0.394,86.388,0.451,85.03
50,0.392,86.618,0.375,87.17
51,0.391,86.608,0.445,84.83
52,0.389,86.648,0.496,83.69
53,0.392,86.724,0.486,83.91
54,0.385,86.66,0.42,85.74
55,0.387,86.718,0.591,81.31
56,0.384,86.778,0.495,83.84
57,0.378,87.062,0.678,79.28
58,0.377,87.158,0.428,85.64
59,0.375,87.148,0.397,86.94
60,0.372,87.208,0.442,85.98
61,0.376,87.06,0.423,86.13
62,0.368,87.392,0.454,85.04
63,0.366,87.52,0.407,86.2
64,0.361,87.492,0.472,84.78
65,0.361,87.758,0.583,82.14
66,0.361,87.612,0.513,82.94
67,0.359,87.618,0.407,86.41
68,0.353,87.916,0.395,86.88
69,0.358,87.714,0.388,87.12
70,0.352,87.75,0.531,82.99
71,0.349,87.97,0.407,86.37
72,0.347,88.034,0.352,88.06
73,0.341,88.41,0.411,86.7
74,0.341,88.396,0.465,84.36
75,0.34,88.238,0.481,84.31
76,0.339,88.228,0.325,88.64
77,0.335,88.406,0.377,87.75
78,0.33,88.618,0.454,85.39
79,0.33,88.664,0.412,85.95
80,0.324,88.914,0.486,84.25
81,0.326,88.846,0.393,86.61
82,0.324,88.9,0.505,84.59
83,0.32,89.058,0.466,85.28
84,0.325,88.79,0.359,87.99
85,0.309,89.372,0.322,89.19
86,0.311,89.314,0.422,85.47
87,0.313,89.244,0.377,87.51
88,0.309,89.346,0.344,88.56
89,0.305,89.614,0.358,88.23
90,0.305,89.698,0.317,89.16
91,0.302,89.674,0.689,79.75
92,0.302,89.668,0.471,85.12
93,0.29,90.0,0.345,88.73
94,0.295,89.892,0.327,89.55
95,0.289,90.104,0.384,88.03
96,0.283,90.262,0.527,83.23
97,0.282,90.266,0.373,87.62
98,0.284,90.302,0.359,88.56
99,0.278,90.54,0.339,88.89
100,0.275,90.534,0.452,85.75
101,0.271,90.678,0.341,88.82
102,0.267,90.926,0.315,89.65
103,0.269,90.786,0.292,90.07
104,0.26,91.14,0.308,89.74
105,0.26,91.076,0.355,88.37
106,0.252,91.384,0.317,89.49
107,0.26,90.958,0.299,89.97
108,0.252,91.308,0.372,87.96
109,0.251,91.388,0.338,88.74
110,0.245,91.568,0.34,89.07
111,0.244,91.608,0.342,88.77
112,0.237,91.906,0.339,88.96
113,0.235,91.856,0.295,90.41
114,0.229,92.202,0.29,90.83
115,0.229,92.094,0.284,90.45
116,0.23,92.03,0.309,89.81
117,0.222,92.422,0.366,88.25
118,0.221,92.524,0.301,90.11
119,0.211,92.734,0.316,89.68
120,0.216,92.518,0.274,91.28
121,0.212,92.852,0.276,90.6
122,0.204,93.01,0.349,89.04
123,0.206,92.836,0.3,90.55
124,0.198,93.25,0.318,90.21
125,0.201,93.0,0.276,91.31
126,0.191,93.434,0.274,91.14
127,0.19,93.444,0.291,90.67
128,0.182,93.814,0.263,91.27
129,0.181,93.72,0.266,91.3
130,0.184,93.632,0.261,91.6
131,0.175,93.944,0.248,91.9
132,0.172,94.11,0.285,90.89
133,0.166,94.258,0.247,92.03
134,0.167,94.284,0.248,92.06
135,0.162,94.388,0.271,91.65
136,0.161,94.548,0.227,92.54
137,0.154,94.766,0.236,92.22
138,0.152,94.776,0.267,91.53
139,0.145,94.918,0.252,91.97
140,0.14,95.24,0.268,91.7
141,0.142,95.166,0.285,90.81
142,0.138,95.152,0.222,92.59
143,0.134,95.284,0.262,92.12
144,0.13,95.582,0.23,92.6
145,0.128,95.618,0.224,92.91
146,0.12,95.904,0.234,92.87
147,0.12,95.988,0.25,92.57
148,0.116,96.01,0.212,93.54
149,0.112,96.192,0.24,92.68
150,0.104,96.544,0.202,93.92
151,0.108,96.376,0.209,93.75
152,0.099,96.7,0.218,93.36
153,0.097,96.782,0.214,93.42
154,0.093,96.902,0.196,94.05
155,0.088,97.124,0.229,93.07
156,0.085,97.136,0.22,93.31
157,0.085,97.27,0.213,93.36
158,0.08,97.348,0.204,93.89
159,0.075,97.516,0.202,94.1
160,0.07,97.65,0.201,94.2
161,0.067,97.8,0.196,94.31
162,0.064,97.836,0.196,94.34
163,0.063,97.94,0.204,94.34
164,0.06,98.0,0.195,94.41
165,0.059,98.008,0.182,94.61
166,0.055,98.218,0.182,94.62
167,0.054,98.17,0.18,94.87
168,0.047,98.432,0.177,95.1
169,0.048,98.47,0.174,95.01
170,0.047,98.51,0.183,94.74
171,0.041,98.702,0.167,95.22
172,0.038,98.736,0.17,94.96
173,0.038,98.842,0.165,95.39
174,0.037,98.866,0.17,95.21
175,0.034,98.954,0.168,95.25
176,0.035,98.888,0.163,95.32
177,0.03,99.088,0.167,95.44
178,0.03,99.094,0.157,95.41
179,0.028,99.174,0.16,95.35
180,0.027,99.168,0.155,95.64
181,0.024,99.246,0.156,95.6
182,0.023,99.308,0.153,95.8
183,0.025,99.208,0.152,95.62
184,0.022,99.35,0.151,95.67
185,0.021,99.36,0.155,95.53
186,0.02,99.378,0.152,95.56
187,0.022,99.348,0.152,95.74
188,0.021,99.346,0.151,95.81
189,0.019,99.452,0.147,95.82
190,0.019,99.42,0.147,95.84
191,0.019,99.458,0.146,95.93
192,0.019,99.42,0.145,95.96
193,0.017,99.518,0.145,95.89
194,0.018,99.444,0.145,95.96
195,0.019,99.452,0.144,95.98
196,0.018,99.488,0.143,95.92
197,0.018,99.494,0.146,95.92
198,0.018,99.422,0.145,95.95
199,0.017,99.496,0.145,95.92
