epoch,train_loss,train_acc,test_loss,test_acc
54,0.378,87.028,0.413,86.78
55,0.362,87.56,0.461,84.22
56,0.367,87.504,0.51,82.75
57,0.358,87.798,0.36,87.69
58,0.355,87.83,0.434,85.42
59,0.357,87.678,0.396,86.74
60,0.356,87.678,0.443,85.64
61,0.358,87.816,0.453,85.17
62,0.352,87.934,0.457,85.03
63,0.351,87.866,0.534,82.85
64,0.35,88.042,0.414,86.08
65,0.351,87.922,0.387,86.5
66,0.342,88.21,0.555,82.84
67,0.34,88.426,0.553,81.85
68,0.339,88.344,0.406,86.19
69,0.339,88.288,0.429,86.19
70,0.339,88.262,0.377,87.41
71,0.333,88.65,0.366,87.74
72,0.332,88.556,0.438,85.12
73,0.324,88.882,0.681,78.52
74,0.325,88.826,0.478,85.07
75,0.322,88.928,0.412,86.64
76,0.319,89.136,0.4,86.84
77,0.319,89.024,0.344,88.68
78,0.314,89.294,0.614,81.33
79,0.313,89.11,0.425,86.4
80,0.311,89.41,0.617,81.44
81,0.308,89.432,0.355,88.18
82,0.305,89.552,0.364,87.89
83,0.302,89.606,0.341,88.78
84,0.302,89.86,0.381,87.13
85,0.297,89.954,0.393,87.7
86,0.291,89.926,0.434,85.85
87,0.291,89.938,0.396,87.11
88,0.286,90.326,0.376,87.21
89,0.291,89.968,0.352,88.16
90,0.289,90.08,0.359,87.99
91,0.284,90.36,0.343,88.63
92,0.278,90.45,0.38,87.69
93,0.274,90.646,0.395,87.21
94,0.27,90.78,0.387,87.24
95,0.271,90.77,0.345,88.36
96,0.268,90.732,0.316,89.34
97,0.265,90.858,0.456,85.76
98,0.262,91.004,0.354,88.3
99,0.256,91.232,0.331,88.6
100,0.261,91.006,0.285,90.73
101,0.252,91.414,0.364,88.21
102,0.253,91.26,0.389,87.63
103,0.253,91.128,0.357,88.16
104,0.247,91.492,0.426,86.15
105,0.244,91.522,0.306,89.95
106,0.24,91.784,0.301,89.77
107,0.235,91.856,0.326,89.02
108,0.237,91.83,0.367,88.27
109,0.231,92.054,0.25,91.68
110,0.234,91.878,0.318,89.63
111,0.222,92.518,0.308,89.95
112,0.222,92.344,0.371,88.0
113,0.22,92.47,0.311,90.24
114,0.214,92.66,0.336,89.36
115,0.217,92.572,0.343,88.88
116,0.215,92.49,0.27,91.36
117,0.208,92.766,0.314,89.8
118,0.2,93.128,0.277,90.59
119,0.197,93.312,0.312,89.74
120,0.195,93.326,0.288,90.57
121,0.191,93.394,0.29,90.36
122,0.194,93.28,0.309,90.09
123,0.183,93.71,0.324,90.17
124,0.187,93.524,0.318,89.94
125,0.178,93.874,0.284,91.22
126,0.174,94.186,0.32,89.97
127,0.176,94.05,0.321,89.95
128,0.173,94.056,0.295,91.1
129,0.169,94.314,0.283,91.0
130,0.167,94.262,0.293,91.01
131,0.161,94.304,0.256,91.99
132,0.162,94.596,0.301,90.7
133,0.154,94.77,0.298,90.66
134,0.15,94.83,0.263,91.73
135,0.149,94.932,0.248,92.12
136,0.144,95.142,0.256,92.09
137,0.144,95.018,0.262,92.22
138,0.138,95.268,0.279,91.4
139,0.138,95.348,0.269,91.6
140,0.127,95.658,0.292,91.06
141,0.128,95.73,0.242,92.5
142,0.123,95.794,0.255,92.22
143,0.123,95.826,0.252,92.33
144,0.114,95.994,0.263,91.79
145,0.113,96.068,0.219,93.19
146,0.11,96.246,0.246,92.52
147,0.103,96.494,0.239,92.99
148,0.101,96.566,0.219,93.25
149,0.095,96.758,0.216,93.46
150,0.1,96.618,0.231,93.08
151,0.089,96.95,0.208,93.79
152,0.09,96.95,0.241,92.69
153,0.084,97.204,0.22,93.52
154,0.083,97.262,0.207,93.99
155,0.079,97.326,0.197,94.05
156,0.077,97.406,0.216,93.84
157,0.074,97.548,0.209,93.79
158,0.067,97.808,0.211,93.85
159,0.069,97.686,0.191,94.56
160,0.063,97.89,0.198,94.24
161,0.059,98.054,0.194,94.37
162,0.058,98.138,0.213,94.05
163,0.054,98.282,0.2,94.33
164,0.052,98.334,0.197,94.49
165,0.051,98.304,0.19,94.46
166,0.048,98.428,0.195,94.35
167,0.044,98.562,0.187,94.65
168,0.037,98.866,0.182,94.89
169,0.04,98.72,0.182,94.85
170,0.036,98.852,0.178,95.07
171,0.036,98.844,0.183,94.83
172,0.037,98.836,0.166,95.24
173,0.028,99.118,0.171,95.24
174,0.03,99.074,0.176,95.09
175,0.031,99.076,0.168,95.21
176,0.028,99.164,0.169,95.26
177,0.025,99.254,0.16,95.55
178,0.024,99.232,0.165,95.37
179,0.024,99.32,0.157,95.58
180,0.022,99.354,0.156,95.56
181,0.021,99.344,0.156,95.55
182,0.022,99.304,0.154,95.55
183,0.022,99.354,0.15,95.84
184,0.021,99.36,0.153,95.77
185,0.019,99.45,0.149,95.79
186,0.02,99.44,0.145,95.91
187,0.018,99.448,0.146,95.9
188,0.017,99.492,0.146,95.88
189,0.017,99.476,0.148,95.99
190,0.017,99.482,0.147,95.92
191,0.017,99.502,0.147,96.02
192,0.017,99.488,0.146,95.98
193,0.015,99.576,0.147,95.92
194,0.016,99.522,0.147,95.92
195,0.016,99.54,0.146,95.98
196,0.016,99.504,0.146,95.94
197,0.015,99.548,0.146,95.95
198,0.016,99.528,0.147,96.01
199,0.015,99.588,0.146,95.95
