epoch,train_loss,train_acc,test_loss,test_acc
0,2.089,27.662,1.61,39.91
1,1.563,42.152,1.343,50.69
2,1.348,50.756,1.443,49.84
3,1.144,58.688,1.228,59.68
4,0.99,64.628,1.164,60.91
5,0.865,69.332,0.95,67.24
6,0.776,72.814,0.767,73.88
7,0.703,75.55,0.936,68.7
8,0.658,77.134,0.855,71.81
9,0.621,78.63,0.658,77.93
10,0.595,79.436,0.638,78.95
11,0.573,80.162,0.578,80.27
12,0.556,80.822,0.55,81.44
13,0.543,81.316,0.898,71.84
14,0.522,81.992,0.556,80.78
15,0.523,81.902,0.82,74.48
16,0.512,82.368,0.647,77.81
17,0.496,82.892,0.586,80.53
18,0.496,83.014,0.602,79.62
19,0.482,83.452,0.654,78.16
20,0.472,83.742,0.95,74.29
21,0.469,83.926,0.513,82.95
22,0.461,84.122,0.461,84.64
23,0.454,84.344,0.552,81.87
24,0.453,84.408,0.6,79.97
25,0.452,84.384,0.678,77.1
26,0.441,84.872,0.444,84.81
27,0.437,85.044,0.705,77.02
28,0.436,85.074,0.689,78.09
29,0.429,85.24,0.475,83.82
30,0.428,85.294,0.54,82.2
31,0.426,85.356,0.524,82.25
32,0.422,85.484,0.567,81.4
33,0.419,85.616,0.714,78.17
34,0.416,85.602,0.474,84.11
35,0.415,85.706,0.605,80.72
36,0.409,85.954,0.447,85.38
37,0.409,85.96,0.674,79.23
38,0.403,86.264,0.503,83.35
39,0.403,86.248,0.595,80.85
40,0.403,86.18,0.492,83.63
41,0.396,86.462,0.57,81.19
42,0.396,86.49,0.552,82.17
43,0.394,86.536,0.656,79.4
44,0.392,86.564,0.419,86.21
45,0.39,86.396,0.958,72.96
46,0.386,86.872,0.498,83.44
47,0.382,86.958,0.63,80.04
48,0.381,86.938,0.547,82.44
49,0.373,87.142,0.413,85.71
50,0.377,86.96,0.467,84.65
51,0.381,87.03,0.451,84.79
52,0.37,87.248,0.391,86.98
53,0.367,87.506,0.538,82.85
