epoch,train_loss,train_acc,test_loss,test_acc
176,0.002,99.974,0.184,95.08
177,0.002,99.988,0.183,95.23
178,0.002,99.986,0.181,95.23
179,0.002,99.986,0.179,95.32
180,0.002,99.992,0.18,95.28
181,0.002,99.994,0.179,95.25
182,0.002,99.992,0.181,95.31
183,0.002,99.988,0.178,95.47
184,0.002,99.996,0.176,95.36
185,0.002,99.99,0.176,95.41
186,0.002,99.994,0.177,95.29
187,0.002,100.0,0.177,95.35
188,0.002,99.99,0.177,95.43
189,0.002,99.996,0.175,95.3
190,0.002,99.998,0.175,95.37
191,0.002,99.994,0.173,95.36
192,0.002,99.998,0.175,95.37
193,0.002,99.992,0.175,95.27
194,0.002,99.998,0.174,95.4
195,0.002,99.998,0.173,95.35
196,0.002,99.998,0.174,95.36
197,0.002,99.996,0.175,95.32
198,0.002,100.0,0.174,95.37
199,0.002,99.996,0.174,95.44
