epoch,train_loss,train_acc,test_loss,test_acc
176,0.029,99.1,0.174,95.27
177,0.028,99.144,0.17,95.28
178,0.026,99.196,0.164,95.36
179,0.024,99.296,0.165,95.3
180,0.024,99.3,0.162,95.52
181,0.022,99.414,0.166,95.51
182,0.023,99.36,0.16,95.51
183,0.02,99.406,0.159,95.46
184,0.019,99.37,0.155,95.57
185,0.017,99.514,0.159,95.74
186,0.018,99.462,0.158,95.65
187,0.018,99.474,0.156,95.75
188,0.017,99.522,0.153,95.81
189,0.017,99.468,0.156,95.73
190,0.015,99.592,0.154,95.86
191,0.015,99.572,0.151,95.85
192,0.014,99.58,0.152,95.84
193,0.015,99.564,0.153,95.83
194,0.016,99.508,0.152,95.83
195,0.014,99.594,0.151,95.89
196,0.015,99.552,0.152,95.86
197,0.015,99.58,0.152,95.81
198,0.014,99.596,0.153,95.8
199,0.014,99.588,0.152,95.81
