epoch,train_loss,train_acc,test_loss,test_acc
0,2.082,26.654,1.723,36.65
1,1.629,39.694,1.511,45.52
2,1.422,48.04,1.247,54.68
3,1.258,54.708,1.163,58.51
4,1.093,60.806,0.993,64.64
5,0.95,66.186,0.915,69.12
6,0.834,70.776,0.743,74.59
7,0.754,73.66,1.084,65.54
8,0.696,75.806,0.764,74.12
9,0.665,76.722,0.675,76.33
10,0.636,77.854,0.623,78.37
11,0.61,78.95,0.762,74.53
12,0.592,79.746,0.628,79.24
13,0.579,79.884,0.568,80.74
14,0.559,80.518,0.694,75.26
15,0.552,80.92,0.596,79.31
16,0.542,81.354,0.5,82.83
17,0.532,81.622,0.561,81.4
18,0.525,82.022,0.659,77.88
19,0.512,82.474,0.567,80.95
20,0.503,82.678,0.597,79.87
21,0.5,82.91,0.543,82.02
22,0.494,82.976,0.603,80.38
23,0.482,83.344,0.489,83.88
24,0.487,83.186,0.53,81.81
25,0.474,83.682,0.524,82.05
26,0.473,83.736,0.517,82.5
27,0.471,83.754,0.714,76.35
28,0.464,83.966,0.564,81.71
29,0.459,84.266,0.474,83.79
30,0.456,84.282,0.65,78.75
31,0.454,84.446,0.51,82.84
32,0.449,84.598,0.501,83.51
33,0.449,84.548,0.481,83.99
34,0.439,84.9,0.465,84.12
35,0.442,84.632,0.516,82.75
36,0.442,84.694,0.526,82.4
37,0.431,85.222,0.593,81.2
38,0.431,85.23,0.627,80.48
39,0.43,85.166,0.407,86.19
40,0.428,85.298,0.508,82.94
41,0.426,85.348,0.468,84.58
42,0.419,85.542,0.693,77.87
43,0.415,85.746,0.52,82.66
44,0.42,85.532,0.435,85.4
45,0.418,85.45,0.508,83.41
46,0.408,85.966,0.473,84.5
47,0.412,85.962,0.482,83.79
48,0.409,86.018,0.547,82.0
49,0.407,85.898,0.577,80.78
50,0.402,86.142,0.469,83.93
51,0.4,86.13,0.534,83.35
52,0.398,86.194,0.447,85.11
53,0.395,86.472,0.394,86.63
54,0.392,86.512,0.482,84.08
55,0.392,86.404,0.515,83.86
56,0.394,86.41,0.44,85.32
57,0.389,86.536,0.41,86.19
58,0.384,86.942,0.533,82.94
59,0.387,86.764,0.71,77.33
60,0.386,86.67,0.417,86.06
61,0.384,86.96,0.54,82.12
62,0.375,87.064,0.474,84.65
63,0.372,87.198,0.425,85.54
64,0.373,87.154,0.459,85.17
65,0.368,87.304,0.475,84.74
66,0.37,87.342,0.393,86.28
67,0.365,87.326,0.537,82.31
68,0.364,87.438,0.459,85.04
69,0.363,87.384,0.861,73.53
70,0.356,87.848,0.484,84.37
71,0.358,87.692,0.392,86.99
72,0.349,88.038,0.444,85.8
73,0.353,87.97,0.421,86.01
74,0.348,88.112,0.406,86.66
75,0.345,88.084,0.428,86.35
76,0.342,88.26,0.393,86.83
77,0.344,88.18,0.554,83.2
78,0.341,88.184,0.392,87.0
79,0.337,88.332,0.431,85.75
80,0.338,88.46,0.547,82.77
81,0.329,88.64,0.439,86.22
82,0.335,88.474,0.369,87.86
83,0.321,89.212,0.362,88.29
84,0.324,88.824,0.378,87.37
85,0.317,89.082,0.333,88.78
86,0.323,88.868,0.424,85.8
87,0.316,89.042,0.385,87.0
88,0.313,89.27,0.337,88.81
89,0.313,89.378,0.499,83.64
90,0.311,89.286,0.385,87.5
91,0.311,89.368,0.451,85.88
92,0.306,89.47,0.428,85.58
93,0.3,89.676,0.332,88.95
94,0.297,89.824,0.356,87.78
95,0.291,90.056,0.416,86.6
96,0.296,89.83,0.432,86.02
97,0.285,90.064,0.394,86.67
98,0.288,90.108,0.337,88.92
99,0.284,90.316,0.337,89.07
100,0.286,90.25,0.426,86.28
101,0.276,90.556,0.396,87.44
102,0.27,90.638,0.377,87.51
103,0.274,90.652,0.312,89.65
104,0.274,90.482,0.429,86.61
105,0.262,91.072,0.39,87.84
106,0.262,90.92,0.348,88.16
107,0.267,90.686,0.346,88.34
108,0.255,91.3,0.297,90.04
109,0.249,91.356,0.341,88.48
110,0.251,91.316,0.491,84.8
111,0.248,91.494,0.392,87.81
112,0.243,91.634,0.284,90.38
113,0.245,91.56,0.351,88.86
114,0.24,91.852,0.427,86.34
115,0.236,92.004,0.336,89.24
116,0.229,92.062,0.304,90.22
117,0.228,92.05,0.302,90.33
118,0.229,92.26,0.312,90.11
119,0.222,92.47,0.295,90.48
120,0.216,92.5,0.293,90.62
121,0.214,92.698,0.306,89.91
122,0.213,92.67,0.288,90.8
123,0.205,93.022,0.275,91.04
124,0.205,92.998,0.291,90.54
125,0.203,92.984,0.274,90.93
126,0.196,93.254,0.266,91.58
127,0.197,93.128,0.294,90.69
128,0.194,93.208,0.25,91.72
129,0.185,93.708,0.273,90.97
130,0.178,93.948,0.297,90.46
131,0.185,93.682,0.272,91.36
132,0.176,93.986,0.269,91.41
133,0.174,93.986,0.254,91.75
134,0.167,94.186,0.258,91.69
135,0.164,94.422,0.256,91.76
136,0.164,94.338,0.253,92.04
137,0.16,94.558,0.265,91.91
138,0.155,94.68,0.27,91.19
139,0.154,94.644,0.261,91.71
140,0.146,95.038,0.235,92.45
141,0.144,95.164,0.223,93.1
142,0.141,95.138,0.25,92.44
143,0.14,95.21,0.262,91.58
144,0.135,95.388,0.254,92.2
145,0.13,95.594,0.223,92.9
146,0.122,95.78,0.252,92.4
147,0.12,95.916,0.246,92.51
148,0.117,95.952,0.233,93.03
149,0.113,96.132,0.211,93.58
150,0.111,96.242,0.237,92.72
151,0.109,96.33,0.231,92.66
152,0.102,96.548,0.223,93.31
153,0.101,96.67,0.242,92.72
154,0.101,96.572,0.216,93.43
155,0.094,96.832,0.22,93.35
156,0.091,96.902,0.214,93.67
157,0.088,97.08,0.207,93.94
158,0.083,97.298,0.218,93.51
159,0.078,97.374,0.218,93.61
160,0.076,97.514,0.204,94.15
161,0.072,97.636,0.203,93.92
162,0.072,97.636,0.196,94.35
163,0.07,97.67,0.197,94.28
164,0.063,97.956,0.189,94.45
165,0.065,97.89,0.192,94.09
166,0.061,98.06,0.184,94.37
167,0.057,98.116,0.186,94.61
168,0.055,98.146,0.181,94.63
169,0.052,98.31,0.169,95.05
170,0.049,98.458,0.18,94.91
171,0.047,98.45,0.178,95.09
172,0.045,98.606,0.178,94.91
173,0.044,98.644,0.176,95.11
174,0.042,98.658,0.169,95.24
175,0.04,98.74,0.181,94.81
176,0.039,98.778,0.174,95.13
177,0.035,98.89,0.162,95.32
178,0.034,98.902,0.164,95.37
179,0.034,98.882,0.162,95.2
180,0.033,98.896,0.161,95.29
181,0.031,99.04,0.157,95.53
182,0.03,99.062,0.152,95.67
183,0.031,99.024,0.155,95.58
184,0.03,99.072,0.151,95.7
185,0.028,99.124,0.152,95.59
186,0.025,99.234,0.151,95.59
187,0.027,99.168,0.149,95.76
188,0.027,99.128,0.148,95.78
189,0.023,99.246,0.146,95.78
190,0.026,99.154,0.145,95.66
191,0.023,99.294,0.147,95.76
192,0.024,99.268,0.148,95.72
193,0.023,99.24,0.147,95.76
194,0.022,99.306,0.145,95.83
195,0.024,99.212,0.145,95.85
196,0.023,99.288,0.145,95.83
197,0.024,99.254,0.145,95.9
198,0.023,99.308,0.144,95.87
199,0.022,99.336,0.145,95.98
